id,molecularFormula,adduct,NPC#superclass,NPC#class,ClassyFire#most specific class,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#class,ClassyFire#superclass
6238_01102023_MZmine_trial_sirius_sirius_10181,C18H28O3,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.53960973,Fatty Acyls,Lipids and lipid-like molecules
4284_01102023_MZmine_trial_sirius_sirius_6841,C18H30O4,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.680503666,Fatty Acyls,Lipids and lipid-like molecules
8394_01102023_MZmine_trial_sirius_sirius_13582,C18H30O4,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.610734582,Fatty Acyls,Lipids and lipid-like molecules
8003_01102023_MZmine_trial_sirius_sirius_12921,C18H28O3,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.549292386,Fatty Acyls,Lipids and lipid-like molecules
8006_01102023_MZmine_trial_sirius_sirius_12924,C18H32O4,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.849979818,Fatty Acyls,Lipids and lipid-like molecules
8585_01102023_MZmine_trial_sirius_sirius_13898,C21H36O4,[M + H]+,Glycerolipids,Monoacylglycerols,Lineolic acids and derivatives,Lineolic acids and derivatives,0.737478614,Fatty Acyls,Lipids and lipid-like molecules
7492_01102023_MZmine_trial_sirius_sirius_12020,C18H30O3,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.673251688,Fatty Acyls,Lipids and lipid-like molecules
6316_01102023_MZmine_trial_sirius_sirius_10300,C18H32O4,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.830991209,Fatty Acyls,Lipids and lipid-like molecules
7096_01102023_MZmine_trial_sirius_sirius_11471,C18H30O4,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.684904337,Fatty Acyls,Lipids and lipid-like molecules
6501_01102023_MZmine_trial_sirius_sirius_10594,C18H30O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.772892654,Fatty Acyls,Lipids and lipid-like molecules
7297_01102023_MZmine_trial_sirius_sirius_11736,C19H32O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.826855123,Fatty Acyls,Lipids and lipid-like molecules
7299_01102023_MZmine_trial_sirius_sirius_11738,C36H60O5,[M + Na]+,Glycerolipids,Diacylglycerols,Lineolic acids and derivatives,Lineolic acids and derivatives,0.820116401,Fatty Acyls,Lipids and lipid-like molecules
8802_01102023_MZmine_trial_sirius_sirius_14275,C18H32O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.533624113,Fatty Acyls,Lipids and lipid-like molecules
8419_01102023_MZmine_trial_sirius_sirius_13627,C18H30O3,[M + H]+,Fatty Acids and Conjugates,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.772362053,Fatty Acyls,Lipids and lipid-like molecules
7119_01102023_MZmine_trial_sirius_sirius_11497,C36H60O5,[M + Na]+,Glycerolipids,Diacylglycerols,Lineolic acids and derivatives,Lineolic acids and derivatives,0.755451739,Fatty Acyls,Lipids and lipid-like molecules
8843_01102023_MZmine_trial_sirius_sirius_14350,C18H32O3,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.563174546,Fatty Acyls,Lipids and lipid-like molecules
7121_01102023_MZmine_trial_sirius_sirius_11499,C37H62O5,[M + Na]+,Glycerolipids,Diacylglycerols,Lineolic acids and derivatives,Lineolic acids and derivatives,0.602477014,Fatty Acyls,Lipids and lipid-like molecules
7128_01102023_MZmine_trial_sirius_sirius_11510,C19H32O2,[M + Na]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.757451594,Fatty Acyls,Lipids and lipid-like molecules
7322_01102023_MZmine_trial_sirius_sirius_11773,C18H32O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.615110874,Fatty Acyls,Lipids and lipid-like molecules
8890_01102023_MZmine_trial_sirius_sirius_14431,C19H34O3,[M + H]+,Fatty Acids and Conjugates,Epoxy fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.656659544,Fatty Acyls,Lipids and lipid-like molecules
6356_01102023_MZmine_trial_sirius_sirius_10362,C18H30O3,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.738889158,Fatty Acyls,Lipids and lipid-like molecules
8259_01102023_MZmine_trial_sirius_sirius_13334,C18H30O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.6439991,Fatty Acyls,Lipids and lipid-like molecules
8707_01102023_MZmine_trial_sirius_sirius_14115,C18H32O3,[M + Na]+,Fatty Acids and Conjugates,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.508094549,Fatty Acyls,Lipids and lipid-like molecules
7147_01102023_MZmine_trial_sirius_sirius_11543,C18H32O4,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.852012455,Fatty Acyls,Lipids and lipid-like molecules
8525_01102023_MZmine_trial_sirius_sirius_13801,C18H32O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.523170173,Fatty Acyls,Lipids and lipid-like molecules
8315_01102023_MZmine_trial_sirius_sirius_13425,C19H34O4,[M + Na]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.668961167,Fatty Acyls,Lipids and lipid-like molecules
9271_01102023_MZmine_trial_sirius_sirius_15201,C18H30O3,[M + Na]+,Eicosanoids,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.74113518,Fatty Acyls,Lipids and lipid-like molecules
7746_01102023_MZmine_trial_sirius_sirius_12438,C21H36O4,[M + H]+,Glycerolipids,Monoacylglycerols,Lineolic acids and derivatives,Lineolic acids and derivatives,0.880520821,Fatty Acyls,Lipids and lipid-like molecules
7913_01102023_MZmine_trial_sirius_sirius_12761,C18H32O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.611196756,Fatty Acyls,Lipids and lipid-like molecules
7557_01102023_MZmine_trial_sirius_sirius_12132,C19H32O2,[M + H]+,Eicosanoids,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.901464343,Fatty Acyls,Lipids and lipid-like molecules
8928_01102023_MZmine_trial_sirius_sirius_14492,C21H36O4,[M + H]+,Glycerolipids,Monoacylglycerols,Lineolic acids and derivatives,Lineolic acids and derivatives,0.862008154,Fatty Acyls,Lipids and lipid-like molecules
7565_01102023_MZmine_trial_sirius_sirius_12146,C18H32O3,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.516965687,Fatty Acyls,Lipids and lipid-like molecules
9124_01102023_MZmine_trial_sirius_sirius_14923,C18H30O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.763429105,Fatty Acyls,Lipids and lipid-like molecules
7567_01102023_MZmine_trial_sirius_sirius_12152,C18H30O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.676137567,Fatty Acyls,Lipids and lipid-like molecules
9297_01102023_MZmine_trial_sirius_sirius_15247,C18H32O3,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.559643447,Fatty Acyls,Lipids and lipid-like molecules
7184_01102023_MZmine_trial_sirius_sirius_11588,C19H32O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.9158234,Fatty Acyls,Lipids and lipid-like molecules
6810_01102023_MZmine_trial_sirius_sirius_11043,C18H28O3,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.673373163,Fatty Acyls,Lipids and lipid-like molecules
8559_01102023_MZmine_trial_sirius_sirius_13850,C19H36O4,[M + Na]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.576349854,Fatty Acyls,Lipids and lipid-like molecules
8560_01102023_MZmine_trial_sirius_sirius_13852,C18H28O3,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.604398847,Fatty Acyls,Lipids and lipid-like molecules
8346_01102023_MZmine_trial_sirius_sirius_13480,C19H32O3,[M + H]+,Fatty Acids and Conjugates,Epoxy fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.850908279,Fatty Acyls,Lipids and lipid-like molecules
7783_01102023_MZmine_trial_sirius_sirius_12508,C18H30O3,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.737590909,Fatty Acyls,Lipids and lipid-like molecules
7402_01102023_MZmine_trial_sirius_sirius_11891,C18H32O3,[M + H]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.526115835,Fatty Acyls,Lipids and lipid-like molecules
8762_01102023_MZmine_trial_sirius_sirius_14208,C16H26O3,[M + H]+,Fatty esters,Oxo fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.554740727,Fatty Acyls,Lipids and lipid-like molecules
9331_01102023_MZmine_trial_sirius_sirius_15325,C21H36O4,[M + H]+,Glycerolipids,Monoacylglycerols,Lineolic acids and derivatives,Lineolic acids and derivatives,0.821776211,Fatty Acyls,Lipids and lipid-like molecules
9339_01102023_MZmine_trial_sirius_sirius_15343,C19H32O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.927809954,Fatty Acyls,Lipids and lipid-like molecules
8174_01102023_MZmine_trial_sirius_sirius_13201,C19H36O4,[M + Na]+,Octadecanoids,Other Octadecanoids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.520141423,Fatty Acyls,Lipids and lipid-like molecules
9356_01102023_MZmine_trial_sirius_sirius_15402,C21H36O3,[M + H]+,Fatty Acids and Conjugates,Epoxy fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.798007667,Fatty Acyls,Lipids and lipid-like molecules
7009_01102023_MZmine_trial_sirius_sirius_11341,C18H32O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Lineolic acids and derivatives,Lineolic acids and derivatives,0.598080337,Fatty Acyls,Lipids and lipid-like molecules
1935_01102023_MZmine_trial_sirius_sirius_3485,C13H24O7S,[M + Na]+,Fatty acyls,Fatty alcohols,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
2143_01102023_MZmine_trial_sirius_sirius_3794,C21H30O5,[M + K]+,Meroterpenoids,Polyprenylated cyclic polyketides (Hop meroterpenoids),Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
3324_01102023_MZmine_trial_sirius_sirius_5453,C20H30O7,[M + H]+,Meroterpenoids,Prostaglandins,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
5075_01102023_MZmine_trial_sirius_sirius_8006,C22H33FN4O3,[M + H]+,Steroids,Pregnane steroids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
5112_01102023_MZmine_trial_sirius_sirius_8057,C21H30F2O3,[M + H]+,Eicosanoids,Prostaglandins,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
4534_01102023_MZmine_trial_sirius_sirius_7206,C43H53NO4,[M + H]+,Macrolides,Macrolide lactams,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
4349_01102023_MZmine_trial_sirius_sirius_6927,C11H17F3N2O2,[M + H]+,Peptide alkaloids,Simple amide alkaloids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
5491_01102023_MZmine_trial_sirius_sirius_8694,C25H32NO3,[M + H]+,Steroids,Androstane steroids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
5691_01102023_MZmine_trial_sirius_sirius_9069,C14H21FO6,[M + Na]+,Monoterpenoids,Trichothecane sesquiterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
4543_01102023_MZmine_trial_sirius_sirius_7217,C20H40N4O3,[M + Na]+,Steroids,Sphingoid bases,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
4977_01102023_MZmine_trial_sirius_sirius_7846,C21H38N2O8,[M + H]+,Ornithine alkaloids,Open-chain polyketides,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
4782_01102023_MZmine_trial_sirius_sirius_7572,C17H24N2O3,[M + Na]+,Lysine alkaloids,Quinolizidine alkaloids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6177_01102023_MZmine_trial_sirius_sirius_10067,C15H27FO4,[M + Na]+,Sesquiterpenoids,Cyclonerane sesquiterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
3669_01102023_MZmine_trial_sirius_sirius_5947,C15H18O4,[M + H]+,Sesquiterpenoids,Guaiane sesquiterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
5212_01102023_MZmine_trial_sirius_sirius_8205,C22H40N2O3,[M + H]+,Lysine alkaloids,Quinolizidine alkaloids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
4644_01102023_MZmine_trial_sirius_sirius_7372,C17H24N2O3,[M + Na]+,Steroids,Quinolizidine alkaloids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
3893_01102023_MZmine_trial_sirius_sirius_6253,C19H32N2O4,[M + Na]+,Lysine alkaloids,Piperidine alkaloids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6645_01102023_MZmine_trial_sirius_sirius_10799,C27H42O3S2,[M + K]+,Steroids,Cholane steroids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6649_01102023_MZmine_trial_sirius_sirius_10807,C18H31F3O3,[M + Na]+,Eicosanoids,Fatty alcohols,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
5829_01102023_MZmine_trial_sirius_sirius_9373,C23H44NO3P,[M + H]+,Fatty amides,N-acyl amines,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
7676_01102023_MZmine_trial_sirius_sirius_12336,C16H20F2O2S,[M + Na]+,Steroids,Estrane steroids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6860_01102023_MZmine_trial_sirius_sirius_11109,C22H37BO5,[M + H]+,Monoterpenoids,Pinane monoterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6679_01102023_MZmine_trial_sirius_sirius_10851,C27H43NO5,[M + Na]+,Linear polyketides,Open-chain polyketides,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
7702_01102023_MZmine_trial_sirius_sirius_12368,C23H45NO6,[M + Na]+,Sphingolipids,Sphingoid bases,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6336_01102023_MZmine_trial_sirius_sirius_10334,C15H26BN2O3,[M + Na]+,Monoterpenoids,Pinane monoterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
7323_01102023_MZmine_trial_sirius_sirius_11774,C18H30B2O2,[M + Na]+,Monoterpenoids,Pinane monoterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
7330_01102023_MZmine_trial_sirius_sirius_11787,C18H30O,[M + H]+,Fatty acyls,Oxygenated hydrocarbons,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
8511_01102023_MZmine_trial_sirius_sirius_13782,C22H47NO,[M + H]+,Fatty amides,Primary amides,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
7544_01102023_MZmine_trial_sirius_sirius_12114,C23H45NO6,[M + Na]+,Sphingolipids,Pyrrolidine alkaloids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
7349_01102023_MZmine_trial_sirius_sirius_11813,C18H27NO4,[M + H]+,Linear polyketides,Open-chain polyketides,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
7748_01102023_MZmine_trial_sirius_sirius_12441,C19H24Br2O7S2,[M + Na]+,Steroids,Pregnane steroids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6393_01102023_MZmine_trial_sirius_sirius_10413,C20H31BN3O4,[M + H]+,Monoterpenoids,Pinane monoterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6952_01102023_MZmine_trial_sirius_sirius_11252,C15H28BN2O3,[M + Na]+,Monoterpenoids,Pinane monoterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
7364_01102023_MZmine_trial_sirius_sirius_11832,C16H29FO4,[M + Na]+,Fatty esters,Wax monoesters,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6610_01102023_MZmine_trial_sirius_sirius_10750,C28H45NO4S,[M + H]+,Diterpenoids,Colensane and Clerodane diterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
8543_01102023_MZmine_trial_sirius_sirius_13825,C27H45B3O7,[M + H]+,Macrolides,Boromycins,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
8545_01102023_MZmine_trial_sirius_sirius_13829,C17H28O4,[M + K]+,Sesquiterpenoids,Open-chain polyketides,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6800_01102023_MZmine_trial_sirius_sirius_11030,C15H26BN2O3,[M + Na]+,Monoterpenoids,Pinane monoterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6969_01102023_MZmine_trial_sirius_sirius_11284,C19H28O4,[M + H]+,Diterpenoids,Labdane diterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
6991_01102023_MZmine_trial_sirius_sirius_11315,C13H20O2,[M + H]+,Apocarotenoids,Irregular monoterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
9346_01102023_MZmine_trial_sirius_sirius_15355,C15H29FO3,[M + Na]+,Diterpenoids,Eudesmane sesquiterpenoids,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
8384_01102023_MZmine_trial_sirius_sirius_13562,C16H30O7,[M + Na]+,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,Lipids and lipid-like molecules,,,,Lipids and lipid-like molecules
2429_01102023_MZmine_trial_sirius_sirius_4215,C18H35NO5,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.986951828,Fatty Acyls,Lipids and lipid-like molecules
3709_01102023_MZmine_trial_sirius_sirius_6002,C18H34O7,[M + H]+,Fatty Acids and Conjugates,Hydroxy fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.962764204,Fatty Acyls,Lipids and lipid-like molecules
3531_01102023_MZmine_trial_sirius_sirius_5745,C18H34O7,[M + H]+,Fatty Acids and Conjugates,Hydroxy fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.970897734,Fatty Acyls,Lipids and lipid-like molecules
4311_01102023_MZmine_trial_sirius_sirius_6876,C18H37NO6,[M + H]+,Fatty Acids and Conjugates,Other Octadecanoids,Long-chain fatty acids,Fatty acids and conjugates,0.994373441,Fatty Acyls,Lipids and lipid-like molecules
4315_01102023_MZmine_trial_sirius_sirius_6880,C18H35NO4,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.935446382,Fatty Acyls,Lipids and lipid-like molecules
4125_01102023_MZmine_trial_sirius_sirius_6594,C18H35NO5,[M + Na]+,Fatty Acids and Conjugates,Dicarboxylic acids,Long-chain fatty acids,Fatty acids and conjugates,0.996470451,Fatty Acyls,Lipids and lipid-like molecules
5462_01102023_MZmine_trial_sirius_sirius_8625,C18H28O2,[M + H]+,Fatty Acids and Conjugates,Unsaturated fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.779347718,Fatty Acyls,Lipids and lipid-like molecules
5078_01102023_MZmine_trial_sirius_sirius_8011,C20H40O5,[M + Na]+,Fatty Acids and Conjugates,Fatty alcohols,Long-chain fatty acids,Fatty acids and conjugates,0.743022561,Fatty Acyls,Lipids and lipid-like molecules
5081_01102023_MZmine_trial_sirius_sirius_8015,C19H37NO5,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.55737412,Fatty Acyls,Lipids and lipid-like molecules
4325_01102023_MZmine_trial_sirius_sirius_6896,C18H28O3,[M + H]+,Octadecanoids,Other Octadecanoids,Long-chain fatty acids,Fatty acids and conjugates,0.960574329,Fatty Acyls,Lipids and lipid-like molecules
4334_01102023_MZmine_trial_sirius_sirius_6908,C19H35NO5,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.980826139,Fatty Acyls,Lipids and lipid-like molecules
6057_01102023_MZmine_trial_sirius_sirius_9835,C18H36O5,[M + H]+,Octadecanoids,Other Octadecanoids,Long-chain fatty acids,Fatty acids and conjugates,0.987669647,Fatty Acyls,Lipids and lipid-like molecules
3191_01102023_MZmine_trial_sirius_sirius_5265,C16H31NO3,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.675299883,Fatty Acyls,Lipids and lipid-like molecules
5099_01102023_MZmine_trial_sirius_sirius_8040,C18H34O6,[M + H]+,Octadecanoids,Other Octadecanoids,Long-chain fatty acids,Fatty acids and conjugates,0.993126154,Fatty Acyls,Lipids and lipid-like molecules
5685_01102023_MZmine_trial_sirius_sirius_9062,C21H33NO6,[M + H]+,Eicosanoids,Prostaglandins,Long-chain fatty acids,Fatty acids and conjugates,0.842957973,Fatty Acyls,Lipids and lipid-like molecules
3783_01102023_MZmine_trial_sirius_sirius_6103,C18H35NO5,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.951838732,Fatty Acyls,Lipids and lipid-like molecules
6087_01102023_MZmine_trial_sirius_sirius_9893,C18H34O5,[M + H]+,Octadecanoids,Other Octadecanoids,Long-chain fatty acids,Fatty acids and conjugates,0.979725063,Fatty Acyls,Lipids and lipid-like molecules
3218_01102023_MZmine_trial_sirius_sirius_5296,C18H35NO4,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.447701126,Fatty Acyls,Lipids and lipid-like molecules
3399_01102023_MZmine_trial_sirius_sirius_5555,C14H23F3O3,[M + Na]+,Fatty Acids and Conjugates,Dicarboxylic acids,Long-chain fatty acids,Fatty acids and conjugates,0.957556665,Fatty Acyls,Lipids and lipid-like molecules
4172_01102023_MZmine_trial_sirius_sirius_6663,C19H27NO7,[M + H]+,Eicosanoids,Isocoumarins,Long-chain fatty acids,Fatty acids and conjugates,0.935114563,Fatty Acyls,Lipids and lipid-like molecules
5335_01102023_MZmine_trial_sirius_sirius_8417,C19H37NO5,[M + Na]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.982391417,Fatty Acyls,Lipids and lipid-like molecules
3794_01102023_MZmine_trial_sirius_sirius_6120,C18H33NO5,[M + H]+,Small peptides,Simple amide alkaloids,Long-chain fatty acids,Fatty acids and conjugates,0.969730735,Fatty Acyls,Lipids and lipid-like molecules
4747_01102023_MZmine_trial_sirius_sirius_7518,C18H32O7S,[M + Na]+,Fatty Acids and Conjugates,Oxo fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.941426814,Fatty Acyls,Lipids and lipid-like molecules
5934_01102023_MZmine_trial_sirius_sirius_9591,C18H34O5,[M + H]+,Octadecanoids,Other Octadecanoids,Long-chain fatty acids,Fatty acids and conjugates,0.976067841,Fatty Acyls,Lipids and lipid-like molecules
6118_01102023_MZmine_trial_sirius_sirius_9950,C18H35NO3,[M + Na]+,Fatty amides,N-acyl amines,Long-chain fatty acids,Fatty acids and conjugates,0.90784061,Fatty Acyls,Lipids and lipid-like molecules
5536_01102023_MZmine_trial_sirius_sirius_8779,C19H37NO5,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.659820616,Fatty Acyls,Lipids and lipid-like molecules
3815_01102023_MZmine_trial_sirius_sirius_6155,C20H40O6,[M + Na]+,Fatty Acids and Conjugates,Dicarboxylic acids,Long-chain fatty acids,Fatty acids and conjugates,0.85870415,Fatty Acyls,Lipids and lipid-like molecules
5954_01102023_MZmine_trial_sirius_sirius_9630,C18H32O3,[M + H]+,Octadecanoids,Other Octadecanoids,Long-chain fatty acids,Fatty acids and conjugates,0.998707294,Fatty Acyls,Lipids and lipid-like molecules
4775_01102023_MZmine_trial_sirius_sirius_7564,C18H35NO8S,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.951039553,Fatty Acyls,Lipids and lipid-like molecules
4399_01102023_MZmine_trial_sirius_sirius_7004,C18H35NO5,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.982190967,Fatty Acyls,Lipids and lipid-like molecules
5371_01102023_MZmine_trial_sirius_sirius_8472,C19H37NO5,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.668345928,Fatty Acyls,Lipids and lipid-like molecules
5005_01102023_MZmine_trial_sirius_sirius_7884,C18H34O5,[M + Na]+,Octadecanoids,Other Octadecanoids,Long-chain fatty acids,Fatty acids and conjugates,0.810953617,Fatty Acyls,Lipids and lipid-like molecules
4810_01102023_MZmine_trial_sirius_sirius_7606,C19H40O5S,[M + Na]+,Fatty Acids and Conjugates,Prostaglandins,Long-chain fatty acids,Fatty acids and conjugates,0.997700393,Fatty Acyls,Lipids and lipid-like molecules
5761_01102023_MZmine_trial_sirius_sirius_9221,C18H30O6,[M + H]+,Fatty Acids and Conjugates,Branched fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.995082021,Fatty Acyls,Lipids and lipid-like molecules
3309_01102023_MZmine_trial_sirius_sirius_5430,C18H34O7,[M + H]+,Fatty Acids and Conjugates,Hydroxy fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.936942279,Fatty Acyls,Lipids and lipid-like molecules
6243_01102023_MZmine_trial_sirius_sirius_10194,C18H35NO3,[M + H]+,Fatty Acids and Conjugates,N-acyl amines,Long-chain fatty acids,Fatty acids and conjugates,0.832553983,Fatty Acyls,Lipids and lipid-like molecules
5045_01102023_MZmine_trial_sirius_sirius_7958,C18H35NO4,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.971289992,Fatty Acyls,Lipids and lipid-like molecules
5046_01102023_MZmine_trial_sirius_sirius_7959,C18H33NO4,[M + H]+,Fatty Acids and Conjugates,Nitro fatty acids,Long-chain fatty acids,Fatty acids and conjugates,0.937574446,Fatty Acyls,Lipids and lipid-like molecules
