id,NPC#class,ClassyFire#most specific class,ClassyFire#class
5264_01102023_MZmine_trial_sirius_sirius_8294,Purine nucleos(t)ides,Purine nucleosides,Purine nucleosides
6306_01102023_MZmine_trial_sirius_sirius_10288,Purine nucleos(t)ides,Alpha amino acids,and analogues
7484_01102023_MZmine_trial_sirius_sirius_12008,Purine nucleos(t)ides,Purine 3'-deoxyribonucleosides,Purine nucleosides
8977_01102023_MZmine_trial_sirius_sirius_14577,Purine nucleos(t)ides,Alpha amino acid amides,and analogues
9184_01102023_MZmine_trial_sirius_sirius_15032,Purine nucleos(t)ides,Amino acids and derivatives,and analogues
7518_01102023_MZmine_trial_sirius_sirius_12054,Purine nucleos(t)ides,Alpha amino acid amides,and analogues
6920_01102023_MZmine_trial_sirius_sirius_11207,Purine nucleos(t)ides,Alpha amino acids and derivatives,and analogues
8520_01102023_MZmine_trial_sirius_sirius_13796,Purine nucleos(t)ides,N-acyl-alpha amino acids,and analogues
6781_01102023_MZmine_trial_sirius_sirius_11005,Purine nucleos(t)ides,N-acyl-alpha amino acids and derivatives,and analogues
8541_01102023_MZmine_trial_sirius_sirius_13823,Purine nucleos(t)ides,Purines and purine derivatives,Imidazopyrimidines
6414_01102023_MZmine_trial_sirius_sirius_10452,Purine nucleos(t)ides,L-alpha-amino acids,and analogues
9137_01102023_MZmine_trial_sirius_sirius_14944,Purine nucleos(t)ides,Phenylalanine and derivatives,and analogues
