id,molecularFormula,adduct,NPC#superclass,NPC#class,ClassyFire#most specific class,ClassyFire#level 5,ClassyFire#subclass
2797_01102023_MZmine_trial_sirius_sirius_4726,C15H23N9O3,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2037_01102023_MZmine_trial_sirius_sirius_3629,C19H25N3O4,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1795_01102023_MZmine_trial_sirius_sirius_3290,C39H56N8O11,[M + H]+,Oligopeptides,Linear peptides,Oligopeptides,Peptides,Amino acids
2202_01102023_MZmine_trial_sirius_sirius_3904,C16H31N3O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2798_01102023_MZmine_trial_sirius_sirius_4727,C28H41N5O7,[M + H]+,Oligopeptides,Cyclic peptides,Oligopeptides,Peptides,Amino acids
2039_01102023_MZmine_trial_sirius_sirius_3631,C23H43N5O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
822_01102023_MZmine_trial_sirius_sirius_1978,C17H29N5O6,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1014_01102023_MZmine_trial_sirius_sirius_2231,C18H27N5O4,[M + Na]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2206_01102023_MZmine_trial_sirius_sirius_3909,C26H39N11O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2802_01102023_MZmine_trial_sirius_sirius_4732,C19H34N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1224_01102023_MZmine_trial_sirius_sirius_2470,C17H27N5O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
633_01102023_MZmine_trial_sirius_sirius_1751,C18H36N6O4,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
1226_01102023_MZmine_trial_sirius_sirius_2472,C18H30N4O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
634_01102023_MZmine_trial_sirius_sirius_1752,C13H25N3O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2208_01102023_MZmine_trial_sirius_sirius_3912,C26H40N6O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2804_01102023_MZmine_trial_sirius_sirius_4736,C23H31N5O8,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2410_01102023_MZmine_trial_sirius_sirius_4195,C21H36N4O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1606_01102023_MZmine_trial_sirius_sirius_3012,C31H40N4O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2992_01102023_MZmine_trial_sirius_sirius_4995,C20H29N3O4,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2607_01102023_MZmine_trial_sirius_sirius_4463,C20H30N4O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1412_01102023_MZmine_trial_sirius_sirius_2738,C19H27N7O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2810_01102023_MZmine_trial_sirius_sirius_4744,C19H23BrN4O7S2,[M + K]+,Small peptides,Cyclic peptides,Oligopeptides,Peptides,Amino acids
1023_01102023_MZmine_trial_sirius_sirius_2240,C22H38N6O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2609_01102023_MZmine_trial_sirius_sirius_4466,C24H36N4O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1024_01102023_MZmine_trial_sirius_sirius_2241,C25H43N7O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2812_01102023_MZmine_trial_sirius_sirius_4746,C27H40N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2612_01102023_MZmine_trial_sirius_sirius_4471,C16H34N12O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2054_01102023_MZmine_trial_sirius_sirius_3647,C25H39N3O10,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2613_01102023_MZmine_trial_sirius_sirius_4473,C32H57N9O7,[M + H]+,Oligopeptides,Cyclic peptides,Oligopeptides,Peptides,Amino acids
1850_01102023_MZmine_trial_sirius_sirius_3359,C24H36N6O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1419_01102023_MZmine_trial_sirius_sirius_2745,C27H44N4O12,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2419_01102023_MZmine_trial_sirius_sirius_4205,C18H34N4O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1852_01102023_MZmine_trial_sirius_sirius_3362,C34H52N6O8S,[M + H]+,Oligopeptides,Linear peptides,Oligopeptides,Peptides,Amino acids
450_01102023_MZmine_trial_sirius_sirius_1523,C16H24N6O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
647_01102023_MZmine_trial_sirius_sirius_1767,C15H26N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1617_01102023_MZmine_trial_sirius_sirius_3033,C16H27N5O9S2,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2058_01102023_MZmine_trial_sirius_sirius_3653,C31H37N5O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1425_01102023_MZmine_trial_sirius_sirius_2754,C16H30N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2223_01102023_MZmine_trial_sirius_sirius_3928,C34H57N7O9,[M + H]+,Oligopeptides,Cyclic peptides,Oligopeptides,Peptides,Amino acids
2060_01102023_MZmine_trial_sirius_sirius_3656,C20H40N6O6,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2224_01102023_MZmine_trial_sirius_sirius_3929,C25H44N8O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2061_01102023_MZmine_trial_sirius_sirius_3657,C36H55N7O9,[M + H]+,Oligopeptides,Cyclic peptides,Oligopeptides,Peptides,Amino acids
1247_01102023_MZmine_trial_sirius_sirius_2497,C28H51N7O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2627_01102023_MZmine_trial_sirius_sirius_4491,C22H36N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1436_01102023_MZmine_trial_sirius_sirius_2766,C21H36N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2825_01102023_MZmine_trial_sirius_sirius_4772,C22H23Br2N5O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3012_01102023_MZmine_trial_sirius_sirius_5022,C32H57N7O10,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1441_01102023_MZmine_trial_sirius_sirius_2771,C17H30N6O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1868_01102023_MZmine_trial_sirius_sirius_3384,C17H25N3O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3015_01102023_MZmine_trial_sirius_sirius_5025,C24H36N4O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2234_01102023_MZmine_trial_sirius_sirius_3947,C34H44N6O9,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1870_01102023_MZmine_trial_sirius_sirius_3386,C16H27N3O4,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2634_01102023_MZmine_trial_sirius_sirius_4498,C18H29N3O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
471_01102023_MZmine_trial_sirius_sirius_1550,C14H28N6O4,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
1059_01102023_MZmine_trial_sirius_sirius_2281,C17H29N5O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2073_01102023_MZmine_trial_sirius_sirius_3673,C19H25N3O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1637_01102023_MZmine_trial_sirius_sirius_3059,C32H52N10O9,[M + H]+,Oligopeptides,Linear peptides,Oligopeptides,Peptides,Amino acids
1445_01102023_MZmine_trial_sirius_sirius_2777,C19H27N7O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2635_01102023_MZmine_trial_sirius_sirius_4500,C28H41N5O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2636_01102023_MZmine_trial_sirius_sirius_4501,C20H30N10O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2834_01102023_MZmine_trial_sirius_sirius_4784,C21H36N4O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
475_01102023_MZmine_trial_sirius_sirius_1555,C14H25N5O4,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1065_01102023_MZmine_trial_sirius_sirius_2289,C16H27N3O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1451_01102023_MZmine_trial_sirius_sirius_2783,C33H54N8O14,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1643_01102023_MZmine_trial_sirius_sirius_3067,C19H25N3O6,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2084_01102023_MZmine_trial_sirius_sirius_3685,C21H40N8O11,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
481_01102023_MZmine_trial_sirius_sirius_1565,C15H26N4O5,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
1453_01102023_MZmine_trial_sirius_sirius_2786,C26H45N7O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2841_01102023_MZmine_trial_sirius_sirius_4792,C20H32N8O4,[M + K]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3029_01102023_MZmine_trial_sirius_sirius_5042,C21H36N4O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1646_01102023_MZmine_trial_sirius_sirius_3071,C21H36N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
864_01102023_MZmine_trial_sirius_sirius_2031,C16H30N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2843_01102023_MZmine_trial_sirius_sirius_4794,C24H35N9O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2089_01102023_MZmine_trial_sirius_sirius_3692,C28H38N8O4,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2453_01102023_MZmine_trial_sirius_sirius_4246,C18H23N5O10S4,[M + K]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1884_01102023_MZmine_trial_sirius_sirius_3404,C19H27N3O4,[M + Na]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
1272_01102023_MZmine_trial_sirius_sirius_2530,C15H28N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
868_01102023_MZmine_trial_sirius_sirius_2035,C14H21N5O4,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2091_01102023_MZmine_trial_sirius_sirius_3694,C27H39N9O9,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1274_01102023_MZmine_trial_sirius_sirius_2532,C16H30N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2659_01102023_MZmine_trial_sirius_sirius_4528,C26H38N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
870_01102023_MZmine_trial_sirius_sirius_2037,C17H27N5O5,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2255_01102023_MZmine_trial_sirius_sirius_3982,C15H29N3O4,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1081_01102023_MZmine_trial_sirius_sirius_2305,C21H28N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2851_01102023_MZmine_trial_sirius_sirius_4803,C20H25N3O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1463_01102023_MZmine_trial_sirius_sirius_2800,C20H33N11O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
490_01102023_MZmine_trial_sirius_sirius_1576,C31H47N13O12,[M + K]+,Oligopeptides,Linear peptides,Oligopeptides,Peptides,Amino acids
2256_01102023_MZmine_trial_sirius_sirius_3983,C21H36N4O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2458_01102023_MZmine_trial_sirius_sirius_4252,C24H38N6O3S,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1279_01102023_MZmine_trial_sirius_sirius_2540,C14H27N3O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2852_01102023_MZmine_trial_sirius_sirius_4805,C43H66N8O9,[M + H]+,Oligopeptides,Cyclic peptides,Oligopeptides,Peptides,Amino acids
2664_01102023_MZmine_trial_sirius_sirius_4535,C15H30N12O4,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1674_01102023_MZmine_trial_sirius_sirius_3112,C22H42N12O7,[M + K]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
876_01102023_MZmine_trial_sirius_sirius_2044,C15H25N3O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2855_01102023_MZmine_trial_sirius_sirius_4813,C33H51N7O12,[M + H]+,Oligopeptides,Linear peptides,Oligopeptides,Peptides,Amino acids
3040_01102023_MZmine_trial_sirius_sirius_5058,C19H38N8O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
692_01102023_MZmine_trial_sirius_sirius_1823,C15H21N3O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1285_01102023_MZmine_trial_sirius_sirius_2547,C20H36N4O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1677_01102023_MZmine_trial_sirius_sirius_3115,C20H36N6O7S,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2261_01102023_MZmine_trial_sirius_sirius_3989,C29H45N7O7,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1897_01102023_MZmine_trial_sirius_sirius_3422,C30H46N6O9,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1471_01102023_MZmine_trial_sirius_sirius_2809,C30H49N7O12,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1473_01102023_MZmine_trial_sirius_sirius_2814,C20H33N11O5,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2106_01102023_MZmine_trial_sirius_sirius_3726,C36H55N7O9,[M + Na]+,Oligopeptides,Cyclic peptides,Oligopeptides,Peptides,Amino acids
2466_01102023_MZmine_trial_sirius_sirius_4264,C30H46N4O11,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3049_01102023_MZmine_trial_sirius_sirius_5073,C32H54N8O10S,[M + H]+,Macrolides,Tripeptides,Oligopeptides,Peptides,Amino acids
1095_01102023_MZmine_trial_sirius_sirius_2326,C20H36N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2468_01102023_MZmine_trial_sirius_sirius_4266,C19H29N3O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2469_01102023_MZmine_trial_sirius_sirius_4267,C19H29N3O5,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2864_01102023_MZmine_trial_sirius_sirius_4827,C34H55N13O8,[M + Na]+,Oligopeptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2109_01102023_MZmine_trial_sirius_sirius_3729,C19H29N3O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2682_01102023_MZmine_trial_sirius_sirius_4559,C26H44N4O20,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1905_01102023_MZmine_trial_sirius_sirius_3432,C21H37N3O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2110_01102023_MZmine_trial_sirius_sirius_3730,C16H25N5O6,[M + Na]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2111_01102023_MZmine_trial_sirius_sirius_3734,C22H37N9O10,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2871_01102023_MZmine_trial_sirius_sirius_4837,C16H33N7O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2113_01102023_MZmine_trial_sirius_sirius_3743,C23H40N8O9,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
891_01102023_MZmine_trial_sirius_sirius_2063,C17H27N5O4,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2873_01102023_MZmine_trial_sirius_sirius_4840,C32H50N10O8,[M + H]+,Oligopeptides,Linear peptides,Oligopeptides,Peptides,Amino acids
2277_01102023_MZmine_trial_sirius_sirius_4016,C29H45N7O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3060_01102023_MZmine_trial_sirius_sirius_5088,C19H38N8O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1486_01102023_MZmine_trial_sirius_sirius_2829,C16H26N4O6,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2115_01102023_MZmine_trial_sirius_sirius_3745,C35H40N4O8,[M + H]+,Coumarins,Simple coumarins,Oligopeptides,Peptides,Amino acids
516_01102023_MZmine_trial_sirius_sirius_1613,C16H28N6O5,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2279_01102023_MZmine_trial_sirius_sirius_4019,C18H33N7O9,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3062_01102023_MZmine_trial_sirius_sirius_5094,C25H40N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
896_01102023_MZmine_trial_sirius_sirius_2068,C17H30N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1303_01102023_MZmine_trial_sirius_sirius_2576,C26H42N6O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2878_01102023_MZmine_trial_sirius_sirius_4845,C16H25N5O4,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2480_01102023_MZmine_trial_sirius_sirius_4281,C27H40N4O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1304_01102023_MZmine_trial_sirius_sirius_2577,C28H36N4O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2120_01102023_MZmine_trial_sirius_sirius_3751,C16H25N5O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1915_01102023_MZmine_trial_sirius_sirius_3446,C21H36N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
140_01102023_MZmine_trial_sirius_sirius_659,C14H27N7O6,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
1916_01102023_MZmine_trial_sirius_sirius_3448,C20H29N5O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2883_01102023_MZmine_trial_sirius_sirius_4851,C16H29N3O4S,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
1492_01102023_MZmine_trial_sirius_sirius_2836,C18H27N5O5,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2884_01102023_MZmine_trial_sirius_sirius_4852,C21H30N4O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
910_01102023_MZmine_trial_sirius_sirius_2084,C13H25N5O5,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1920_01102023_MZmine_trial_sirius_sirius_3453,C30H48N6O9,[M + Na]+,Oligopeptides,Linear peptides,Oligopeptides,Peptides,Amino acids
2489_01102023_MZmine_trial_sirius_sirius_4294,C34H52N8O11,[M + H]+,Oligopeptides,Tripeptides,Oligopeptides,Peptides,Amino acids
526_01102023_MZmine_trial_sirius_sirius_1625,C15H26N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2887_01102023_MZmine_trial_sirius_sirius_4856,C34H55N13O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2127_01102023_MZmine_trial_sirius_sirius_3762,C30H48N10O6,[M + H]+,Oligopeptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3123_01102023_MZmine_trial_sirius_sirius_5175,C29H42N4O11,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1116_01102023_MZmine_trial_sirius_sirius_2348,C18H31N5O4,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2888_01102023_MZmine_trial_sirius_sirius_4859,C20H36N4O6S,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1707_01102023_MZmine_trial_sirius_sirius_3167,C16H27N3O4,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
916_01102023_MZmine_trial_sirius_sirius_2090,C18H30N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2129_01102023_MZmine_trial_sirius_sirius_3767,C25H40N6O6,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3125_01102023_MZmine_trial_sirius_sirius_5177,C21H28N6O4S2,[M + Na]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
1509_01102023_MZmine_trial_sirius_sirius_2868,C22H39N5O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2132_01102023_MZmine_trial_sirius_sirius_3777,C24H37N9O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2895_01102023_MZmine_trial_sirius_sirius_4867,C39H60N8O12,[M + H]+,Oligopeptides,Linear peptides,Oligopeptides,Peptides,Amino acids
1710_01102023_MZmine_trial_sirius_sirius_3171,C15H23N3O8,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
2897_01102023_MZmine_trial_sirius_sirius_4869,C27H36N4O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3129_01102023_MZmine_trial_sirius_sirius_5183,C33H50N7O7P,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1712_01102023_MZmine_trial_sirius_sirius_3173,C36H33N5O11,[M + H]+,Coumarins,Simple coumarins,Oligopeptides,Peptides,Amino acids
2135_01102023_MZmine_trial_sirius_sirius_3782,C20H40N6O6S,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1321_01102023_MZmine_trial_sirius_sirius_2605,C20H32N4O6,[M + Na]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1513_01102023_MZmine_trial_sirius_sirius_2873,C21H25N9O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2502_01102023_MZmine_trial_sirius_sirius_4313,C22H34N4O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3092_01102023_MZmine_trial_sirius_sirius_5134,C20H31N5O9,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2136_01102023_MZmine_trial_sirius_sirius_3784,C25H40N6O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
332_01102023_MZmine_trial_sirius_sirius_1333,C16H24N6O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1715_01102023_MZmine_trial_sirius_sirius_3180,C27H40N8O10S2,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
541_01102023_MZmine_trial_sirius_sirius_1646,C14H26N4O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2138_01102023_MZmine_trial_sirius_sirius_3787,C32H45N5O7,[M + H]+,Oligopeptides,Linear peptides,Oligopeptides,Peptides,Amino acids
1517_01102023_MZmine_trial_sirius_sirius_2879,C22H32N4O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
542_01102023_MZmine_trial_sirius_sirius_1647,C16H29N5O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
336_01102023_MZmine_trial_sirius_sirius_1339,C20H32FN5O5S,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2518_01102023_MZmine_trial_sirius_sirius_4333,C27H36N6O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1719_01102023_MZmine_trial_sirius_sirius_3186,C19H27N3O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1938_01102023_MZmine_trial_sirius_sirius_3490,C16H30N4O5S,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
337_01102023_MZmine_trial_sirius_sirius_1345,C23H36N6O15,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1522_01102023_MZmine_trial_sirius_sirius_2887,C22H35N9O11,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2307_01102023_MZmine_trial_sirius_sirius_4054,C19H25N3O4,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2308_01102023_MZmine_trial_sirius_sirius_4055,C31H53N7O15,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1725_01102023_MZmine_trial_sirius_sirius_3194,C17H26N4O4,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
778_01102023_MZmine_trial_sirius_sirius_1920,C16H31N7O5,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1947_01102023_MZmine_trial_sirius_sirius_3507,C30H48N6O9,[M + H]+,Oligopeptides,Cyclic peptides,Oligopeptides,Peptides,Amino acids
939_01102023_MZmine_trial_sirius_sirius_2117,C18H31N5O7,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
2313_01102023_MZmine_trial_sirius_sirius_4063,C17H25N9O3,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
1143_01102023_MZmine_trial_sirius_sirius_2380,C20H25N5O4,[M + H]+,Small peptides,Dipeptides,Oligopeptides,Peptides,Amino acids
3518_01102023_MZmine_trial_sirius_sirius_5729,C25H42N6O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3909_01102023_MZmine_trial_sirius_sirius_6273,C22H32N4O6,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
3719_01102023_MZmine_trial_sirius_sirius_6016,C30H47N7O8,[M + H]+,Small peptides,Tripeptides,Oligopeptides,Peptides,Amino acids
