id,molecularFormula,adduct,NPC#superclass,NPC#class,ClassyFire#most specific class,ClassyFire#level 5,ClassyFire#subclass
2623_01102023_MZmine_trial_sirius_sirius_4484,C13H20BN4O3,[M + Na]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1042_01102023_MZmine_trial_sirius_sirius_2259,C12H24N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
844_01102023_MZmine_trial_sirius_sirius_2009,C17H23N3O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
660_01102023_MZmine_trial_sirius_sirius_1780,C13H20F2N4O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1255_01102023_MZmine_trial_sirius_sirius_2510,C12H24N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
850_01102023_MZmine_trial_sirius_sirius_2017,C11H20N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
466_01102023_MZmine_trial_sirius_sirius_1544,C11H21N3O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
662_01102023_MZmine_trial_sirius_sirius_1783,C8H16N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
663_01102023_MZmine_trial_sirius_sirius_1784,C10H20N2O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1873_01102023_MZmine_trial_sirius_sirius_3390,C15H22N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
668_01102023_MZmine_trial_sirius_sirius_1790,C13H23N5O4,[M + Na]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
476_01102023_MZmine_trial_sirius_sirius_1557,C10H20N2O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
2644_01102023_MZmine_trial_sirius_sirius_4511,C23H37FN2O4,[M + H]+,Small peptides,Cyclic peptides,Dipeptides,Peptides,Amino acids
487_01102023_MZmine_trial_sirius_sirius_1572,C11H23N3O4S,[M + Na]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1885_01102023_MZmine_trial_sirius_sirius_3405,C19H27N3O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
687_01102023_MZmine_trial_sirius_sirius_1816,C13H23N5O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
2096_01102023_MZmine_trial_sirius_sirius_3705,C17H33N3O4,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
3037_01102023_MZmine_trial_sirius_sirius_5054,C30H22Br2N4O3,[M + H]+,Tryptophan alkaloids,Quinazoline alkaloids,Dipeptides,Peptides,Amino acids
289_01102023_MZmine_trial_sirius_sirius_1163,C12H25N5O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
688_01102023_MZmine_trial_sirius_sirius_1818,C9H18N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
494_01102023_MZmine_trial_sirius_sirius_1580,C14H25N3O5,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
2103_01102023_MZmine_trial_sirius_sirius_3720,C24H44N4O4,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
1089_01102023_MZmine_trial_sirius_sirius_2318,C14H20N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
300_01102023_MZmine_trial_sirius_sirius_1222,C10H20N2O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
2107_01102023_MZmine_trial_sirius_sirius_3727,C19H27N3O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
2680_01102023_MZmine_trial_sirius_sirius_4557,C17H29F3N4O4,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
507_01102023_MZmine_trial_sirius_sirius_1597,C15H23N5O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1478_01102023_MZmine_trial_sirius_sirius_2819,C12H24N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
2683_01102023_MZmine_trial_sirius_sirius_4560,C17H35N5O3,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
514_01102023_MZmine_trial_sirius_sirius_1611,C11H20N2O5,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
311_01102023_MZmine_trial_sirius_sirius_1282,C12H20N4O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
895_01102023_MZmine_trial_sirius_sirius_2067,C13H19BN4O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
3061_01102023_MZmine_trial_sirius_sirius_5090,C10H16N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1697_01102023_MZmine_trial_sirius_sirius_3149,C15H23BN4O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1307_01102023_MZmine_trial_sirius_sirius_2580,C12H24N4O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
141_01102023_MZmine_trial_sirius_sirius_662,C9H19N3O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
2485_01102023_MZmine_trial_sirius_sirius_4288,C17H23N3O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1310_01102023_MZmine_trial_sirius_sirius_2583,C12H28N5O5P,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
525_01102023_MZmine_trial_sirius_sirius_1624,C13H23N5O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
145_01102023_MZmine_trial_sirius_sirius_672,C14H25N3O5,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
721_01102023_MZmine_trial_sirius_sirius_1854,C11H22N2O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
1506_01102023_MZmine_trial_sirius_sirius_2862,C15H25N3O5,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
2494_01102023_MZmine_trial_sirius_sirius_4301,C17H35N5O3,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
