id,ClassyFire#most specific class
6260_01102023_MZmine_trial_sirius_sirius_10224,Glycinated bile acids and derivatives
4658_01102023_MZmine_trial_sirius_sirius_7392,Glycinated bile acids and derivatives
6455_01102023_MZmine_trial_sirius_sirius_10525,Glycinated bile acids and derivatives
4849_01102023_MZmine_trial_sirius_sirius_7657,Glycinated bile acids and derivatives
4853_01102023_MZmine_trial_sirius_sirius_7662,Glycinated bile acids and derivatives
6014_01102023_MZmine_trial_sirius_sirius_9755,Glycinated bile acids and derivatives
3898_01102023_MZmine_trial_sirius_sirius_6260,Glycinated bile acids and derivatives
6832_01102023_MZmine_trial_sirius_sirius_11074,Glycinated bile acids and derivatives
4867_01102023_MZmine_trial_sirius_sirius_7687,Glycinated bile acids and derivatives
4674_01102023_MZmine_trial_sirius_sirius_7416,Glycinated bile acids and derivatives
7029_01102023_MZmine_trial_sirius_sirius_11368,Glycinated bile acids and derivatives
6293_01102023_MZmine_trial_sirius_sirius_10269,Glycinated bile acids and derivatives
5835_01102023_MZmine_trial_sirius_sirius_9385,Glycinated bile acids and derivatives
6668_01102023_MZmine_trial_sirius_sirius_10833,Glycinated bile acids and derivatives
7291_01102023_MZmine_trial_sirius_sirius_11728,Glycinated bile acids and derivatives
6340_01102023_MZmine_trial_sirius_sirius_10338,Glycinated bile acids and derivatives
6761_01102023_MZmine_trial_sirius_sirius_10967,Glycinated bile acids and derivatives
8252_01102023_MZmine_trial_sirius_sirius_13323,Glycinated bile acids and derivatives
6778_01102023_MZmine_trial_sirius_sirius_11001,Glycinated bile acids and derivatives
6594_01102023_MZmine_trial_sirius_sirius_10727,Glycinated bile acids and derivatives
7161_01102023_MZmine_trial_sirius_sirius_11563,Glycinated bile acids and derivatives
6605_01102023_MZmine_trial_sirius_sirius_10743,Glycinated bile acids and derivatives
6611_01102023_MZmine_trial_sirius_sirius_10752,Glycinated bile acids and derivatives
6963_01102023_MZmine_trial_sirius_sirius_11267,Glycinated bile acids and derivatives
6416_01102023_MZmine_trial_sirius_sirius_10461,Glycinated bile acids and derivatives
7189_01102023_MZmine_trial_sirius_sirius_11595,Glycinated bile acids and derivatives
6428_01102023_MZmine_trial_sirius_sirius_10481,Glycinated bile acids and derivatives
5676_01102023_MZmine_trial_sirius_sirius_9044,Glycinated bile acids and derivatives
5766_01102023_MZmine_trial_sirius_sirius_9239,Glycinated bile acids and derivatives
5283_01102023_MZmine_trial_sirius_sirius_8324,Glycinated bile acids and derivatives
5420_01102023_MZmine_trial_sirius_sirius_8555,Glycinated bile acids and derivatives
6835_01102023_MZmine_trial_sirius_sirius_11077,Glycinated bile acids and derivatives
5785_01102023_MZmine_trial_sirius_sirius_9276,Hydroxy bile acids
4295_01102023_MZmine_trial_sirius_sirius_6856,Hydroxy bile acids
3918_01102023_MZmine_trial_sirius_sirius_6285,Hydroxy bile acids
3923_01102023_MZmine_trial_sirius_sirius_6292,Hydroxy bile acids
5072_01102023_MZmine_trial_sirius_sirius_8002,Hydroxy bile acids
4703_01102023_MZmine_trial_sirius_sirius_7458,Hydroxy bile acids
5088_01102023_MZmine_trial_sirius_sirius_8023,Hydroxy bile acids
5901_01102023_MZmine_trial_sirius_sirius_9507,Hydroxy bile acids
5690_01102023_MZmine_trial_sirius_sirius_9068,Hydroxy bile acids
5318_01102023_MZmine_trial_sirius_sirius_8391,Hydroxy bile acids
5321_01102023_MZmine_trial_sirius_sirius_8399,Hydroxy bile acids
5162_01102023_MZmine_trial_sirius_sirius_8133,Hydroxy bile acids
4991_01102023_MZmine_trial_sirius_sirius_7861,Hydroxy bile acids
5548_01102023_MZmine_trial_sirius_sirius_8795,Hydroxy bile acids
5168_01102023_MZmine_trial_sirius_sirius_8139,Hydroxy bile acids
4219_01102023_MZmine_trial_sirius_sirius_6737,Hydroxy bile acids
5739_01102023_MZmine_trial_sirius_sirius_9176,Hydroxy bile acids
5377_01102023_MZmine_trial_sirius_sirius_8478,Hydroxy bile acids
3846_01102023_MZmine_trial_sirius_sirius_6195,Hydroxy bile acids
5982_01102023_MZmine_trial_sirius_sirius_9690,Hydroxy bile acids
4818_01102023_MZmine_trial_sirius_sirius_7618,Hydroxy bile acids
3852_01102023_MZmine_trial_sirius_sirius_6205,Hydroxy bile acids
6166_01102023_MZmine_trial_sirius_sirius_10047,Hydroxy bile acids
5391_01102023_MZmine_trial_sirius_sirius_8506,Hydroxy bile acids
5392_01102023_MZmine_trial_sirius_sirius_8508,Hydroxy bile acids
6242_01102023_MZmine_trial_sirius_sirius_10193,Hydroxy bile acids
5026_01102023_MZmine_trial_sirius_sirius_7919,Hydroxy bile acids
3663_01102023_MZmine_trial_sirius_sirius_5938,Hydroxy bile acids
6175_01102023_MZmine_trial_sirius_sirius_10063,Hydroxy bile acids
5615_01102023_MZmine_trial_sirius_sirius_8914,Hydroxy bile acids
4260_01102023_MZmine_trial_sirius_sirius_6807,Hydroxy bile acids
5996_01102023_MZmine_trial_sirius_sirius_9714,Hydroxy bile acids
5781_01102023_MZmine_trial_sirius_sirius_9272,Hydroxy bile acids
5791_01102023_MZmine_trial_sirius_sirius_9290,Hydroxy bile acids
