rowname,Met-C6:0,Met-C6:0_110,sum_met_c6,PC(20:2/0:0); [M+H]+ C28H55N1O7P1,PC(20:2/0:0); [M+H]+ C28H55N1O7P1_138,sum_PC,Spectral Match to Stearidonic acid from NIST14,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet
34.mzML,1.18E-06,1.18E-06,2.35157359533708E-06,1.39E-05,1.18E-06,0.00001508,1.18E-06,4,8,Normal
35.mzML,1.03E-06,1.03E-06,2.05793970337102E-06,1.03E-06,1.03E-06,0.00000206,1.03E-06,5,8,Normal
4.mzML,5.75E-07,5.75E-07,1.15043013807211E-06,1.77E-05,5.75E-07,0.000018275,1.68E-06,4,0,Normal
46.mzML,5.24E-07,5.24E-07,1.04838564490512E-06,1.21E-05,5.24E-07,0.000012624,5.24E-07,1,12,Normal
47.mzML,4.39E-07,4.39E-07,8.78918952084644E-07,1.41E-05,4.39E-07,0.000014539,4.39E-07,2,12,Normal
48.mzML,5.13E-07,5.13E-07,1.02500818529765E-06,1.82E-05,5.37E-06,0.00002357,5.13E-07,3,12,Normal
49.mzML,7.30E-07,7.30E-07,1.4597552618186E-06,2.75E-06,8.78E-06,0.00001153,7.30E-07,4,12,Normal
5.mzML,6.73E-07,6.73E-07,1.34674904608767E-06,6.73E-07,6.40E-06,0.000007073,6.73E-07,5,0,Normal
50.mzML,8.09E-07,8.09E-07,1.61704233345925E-06,8.09E-07,7.53E-06,0.000008339,8.09E-07,5,12,Normal
61.mzML,9.36E-07,9.36E-07,1.87142169298745E-06,1.04E-05,9.36E-07,0.000011336,9.36E-07,1,19,Normal
62.mzML,6.51E-07,6.51E-07,1.30285654666765E-06,6.51E-07,6.51E-07,0.000001302,6.51E-07,2,19,Normal
63.mzML,8.40E-07,8.40E-07,1.68056252554676E-06,8.29E-06,8.40E-07,0.00000913,8.40E-07,3,19,Normal
64.mzML,7.35E-07,7.35E-07,1.47070928444146E-06,3.48E-05,1.35E-05,0.0000483,7.35E-07,4,19,Normal
65.mzML,5.81E-07,5.81E-07,1.16278552453074E-06,0.00016469,1.06E-05,0.00017529,5.81E-07,5,19,Normal
77.mzML,5.68E-07,5.68E-07,1.13651229219841E-06,8.28E-06,5.68E-07,0.000008848,5.68E-07,2,26,Normal
78.mzML,5.59E-07,5.59E-07,1.11895839455867E-06,7.68E-06,5.59E-07,0.000008239,5.59E-07,3,26,Normal
79.mzML,7.08E-07,7.08E-07,1.41569340714781E-06,1.65E-05,7.08E-07,0.000017208,7.08E-07,4,26,Normal
80.mzML,5.84E-07,5.84E-07,1.16854653415278E-06,3.39E-06,5.84E-07,0.000003974,5.84E-07,5,26,Normal
91.mzML,2.30E-07,2.30E-07,4.60171226542706E-07,8.90E-05,1.21E-05,0.0001011,2.30E-07,1,33,Normal
92.mzML,7.05E-07,7.05E-07,1.40971203577545E-06,0.000143167,1.26E-05,0.000155767,7.05E-07,2,33,Normal
93.mzML,8.80E-07,8.80E-07,1.76017388145594E-06,7.67E-05,9.04E-06,0.00008574,8.80E-07,3,33,Normal
94.mzML,6.54E-07,6.54E-07,1.30899180883807E-06,1.03E-05,6.54E-07,0.000010954,6.54E-07,4,33,Normal
95.mzML,7.48E-07,7.48E-07,1.49579016678042E-06,1.43E-05,7.48E-07,0.000015048,7.48E-07,5,33,Normal
